ID,Model,Prices,Depreciation,Reg Date,Eng Cap,Mileage,Vehicle Type
1228355,Mercedes-Benz CLS-Class CLS350 Mild Hybrid AMG Line Premium,"273,800","$29,790 /yr",11-Dec-2020,"1,991 cc","23,500 km",Luxury
1110006,Honda Vezel Hybrid 1.5A X,"64,800","$16,070 /yr",21-Aug-2017,"1,496 cc","75,000 km",SUV
1224873,Isuzu NMR85U,"22,800","$24,840 /yr",05-Sep-2014,"2,999 cc","125,692 km",Truck
1236998,BMW X3 xDrive30i M-Sport,"170,800","$25,130 /yr",28-Feb-2019,"1,998 cc","86,000 km",SUV
1223461,BMW X4 xDrive28i Sunroof,"68,888","$30,630 /yr",14-Nov-2014,"1,997 cc","128,000 km",SUV
1194914,Mazda 3 HB 1.6A (COE till 12/2024),"16,800","$13,540 /yr",25-Jan-2010,"1,598 cc","148,000 km",Hatchback
1236650,Honda Civic 1.5A VTEC Turbo Sunroof,"77,800","$17,810 /yr",06-Jun-2017,"1,498 cc","80,000 km",Sedan
1236617,Porsche Panamera 3.6A PDK,"153,800","$30,360 /yr",04-Jan-2016,"3,605 cc","79,980 km",Sports
1237032,Lexus ES250 Executive,"142,800","$22,560 /yr",09-Jan-2019,"2,487 cc","55,000 km",Luxury
1237021,Honda Fit 1.3A GF,"77,900","$13,670 /yr",09-Apr-2019,"1,317 cc",-,Hatchback
1236795,Kia Cerato 1.6A EX,"98,000","$14,030 /yr",20-Mar-2020,"1,591 cc","75,423 km",Sedan
1224298,Honda Jazz 1.5A RS,"36,000","$16,450 /yr",26-Aug-2015,"1,498 cc","120,388 km",Hatchback
1237019,Porsche Panamera 2.9A PDK,"478,800","$43,450 /yr",29-Aug-2022,"2,894 cc","20,411 km",Luxury
1235289,Honda HR-V 1.5A LX,"82,000","$15,240 /yr",07-Jun-2018,"1,496 cc","43,198 km",SUV
1237017,Mercedes-Benz E-Class E200 Exclusive,"107,800","$24,310 /yr",06-Oct-2016,"1,991 cc","80,000 km",Luxury
1232204,Honda Shuttle 1.5A G Honda Sensing,"110,800","$14,060 /yr",28-May-2021,"1,496 cc","32,300 km",Stationwagon
1236990,BMW 1 Series 116d,"91,555","$16,620 /yr",26-Apr-2018,"1,496 cc",-,Hatchback
1236692,Toyota Sienta Hybrid 1.5A G,"113,555","$16,640 /yr",19-Dec-2019,"1,496 cc","34,000 km",MPV
1093004,Hyundai i30 Wagon 1.6A (COE till 06/2024),"11,900","$16,150 /yr",15-Aug-2009,"1,591 cc",-,Stationwagon
1220627,Toyota Corolla 1.5A (COE till 03/2029),"48,800","$8,890 /yr",17-May-2001,"1,497 cc",-,Sedan
1237000,Lexus ES Hybrid ES300h Executive Sunroof,"110,800","$19,780 /yr",22-Jan-2018,"2,494 cc","119,000 km",Luxury
1237028,BMW 1 Series 116d,"50,800","$17,830 /yr",28-Apr-2016,"1,496 cc","75,000 km",Hatchback
1237034,Mercedes-Benz E-Class E250 Avantgarde (COE till 05/2032),"137,800","$15,970 /yr",21-May-2012,"1,796 cc",-,Luxury
1228369,Audi A4 2.0A TFSI S-tronic,"141,800","$17,570 /yr",18-Sep-2020,"1,984 cc",-,Luxury
1236995,Toyota Vellfire 2.5A Z A-Edition Moonroof,"109,800","$33,080 /yr",24-Jun-2016,"2,493 cc",-,MPV
1236994,BMW iX Electric xDrive40,"388,800","$33,730 /yr",28-Feb-2023,-,"3,000 km",SUV
1236999,Audi A6 2.0A TFSI MU (COE till 06/2025),"28,800","$16,850 /yr",21-Jun-2010,"1,984 cc","86,700 km",Luxury
1235068,BMW 2 Series 216d Active Tourer,"65,800","$17,040 /yr",03-Jan-2017,"1,496 cc","141,400 km",Hatchback
1218719,Honda Airwave 1.5A M (COE till 05/2024),"11,800","$18,020 /yr",24-Jul-2009,"1,496 cc",-,Stationwagon
1233928,Kia Cerato 1.6A SX Sunroof,"86,800","$15,490 /yr",12-Oct-2018,"1,591 cc","57,000 km",Sedan
1225162,Jaguar XF 2.0A Prestige,"65,800","$20,970 /yr",26-May-2015,"1,999 cc",-,Luxury
1108129,Mercedes-Benz E-Class E200 Mild Hybrid Avantgarde,"256,300","$25,430 /yr",27-Jun-2022,"1,991 cc","15,410 km",Luxury
1175913,Mercedes-Benz A-Class A200 AMG Line,"162,800","$18,710 /yr",15-Jun-2021,"1,333 cc","17,000 km",Hatchback
1237002,Audi Q5 Mild Hybrid 2.0A TFSI Quattro S-tronic,"229,999","$24,750 /yr",26-Jan-2022,"1,984 cc","18,800 km",SUV
1237010,Honda N-Van Turbo Style Fun Honda Sensing,"85,800","$9,060 /yr",23-Mar-2023,658 cc,-,Van
1237006,Toyota ProAce Electric,"134,800","$14,370 /yr",20-Feb-2023,-,-,Van
1237013,Porsche Panamera Turbo 4.0A PDK,"420,800","$66,800 /yr",18-Apr-2017,"3,996 cc","61,000 km",Sports
1236943,Citroen C5 Aircross 1.6A PureTech EAT8 Shine,"104,800","$15,760 /yr",26-Jul-2019,"1,598 cc","33,436 km",SUV
1218186,Toyota Sienta Hybrid 1.5A X LED,"109,800","$16,460 /yr",29-Nov-2019,"1,496 cc","51,115 km",MPV
1236938,Kia Cerato K3 1.6A Sunroof,"57,888","$13,890 /yr",08-May-2017,"1,591 cc","91,200 km",Sedan
1237023,Kia Picanto 1.1A (COE till 07/2024),"8,680","$10,890 /yr",23-Jul-2009,"1,086 cc","164,136 km",Hatchback
1072402,Audi Q2 1.0A TFSI S-tronic,"82,700","$19,010 /yr",16-Aug-2017,999 cc,"80,050 km",SUV
1237007,Kia Carens Diesel 1.7A Sunroof,"62,800","$16,700 /yr",18-Nov-2016,"1,685 cc","121,388 km",MPV
1237022,BMW 5 Series 523i Highline (COE till 08/2030),"89,998","$13,160 /yr",06-Aug-2010,"2,497 cc","127,288 km",Luxury
1237033,Nissan NV350 2.5A,"45,800","$12,850 /yr",29-Apr-2017,"2,488 cc",-,Van
1232074,Toyota Wish 1.8A X (COE till 12/2028),"65,800","$12,750 /yr",02-Dec-2008,"1,794 cc",-,MPV
1237031,Toyota Alphard 2.4A (COE till 09/2024),"20,800","$21,030 /yr",23-Oct-2004,"2,362 cc","213,000 km",MPV
1237005,Audi A7 Sportback 2.0A TFSI,"85,700","$38,240 /yr",27-Feb-2015,"1,984 cc","104,000 km",Luxury
1237001,Hyundai Elantra 1.6A GLS Elite,"77,800","$14,360 /yr",03-Sep-2018,"1,591 cc","95,000 km",Sedan
